#1 tweet_ID	norm_text	label_country	label_province
TRAIN_1	الفار العور يشوف فقط كيسي ومايشوف ماتويد	Iraq	iq_Al-Anbar
TRAIN_2	ي دينيييي ربنا يستر	Egypt	eg_Alexandria
TRAIN_3	اساسا نسبكم قذر ونجس بلاش تتفاخروا بنجاستكم يا وهابيه	Iraq	iq_Maysan
TRAIN_4	ليست كل المشاعر تحتاج الي حبيب بعض المشاعر تحتاج الي رفيق لا يخذل صديق لا يوجع روح تظل معك ولا تمل منك	Morocco	ma_Oriental
TRAIN_5	لا ني حاضرها هذي لايف	Libya	ly_Al-Jabal-al-Akhdar
TRAIN_6	اللهم اشفي كل شخص عباله الدنيا واقفه عليه	United_Arab_Emirates	ae_Fujairah
TRAIN_7	هيتقال عليك محروق ومش عارف تعمل زيهم	Egypt	eg_Ismailia
TRAIN_8	والهوسات الزينه ابيت ماجد ياسين حمدالله ع سلامه	Iraq	iq_Baghdad
TRAIN_9	انا من الناس المتخلفه اللي بتعمل كده للاسف بس عايزه اقول اني بفرح اكيد وببقي نفسي اقول كلام كتير للشخص ده و اني فعلا مبسوطه وفرحانه جداا بس برد ب شكرا ونفسي انه يفهم من الكلمه دي كل ده معرفش ازاي بس هو كده وخلاص	Egypt	eg_Dakahlia
TRAIN_10	مشكله موريتان عنها ماتلينا نكد نصنفوها من الدول فلحره كاع نعيبوها ولا نشكروها الدوله بمفهومها العام لم تعد موجوده ولم تكن لربما كانت هنالك محاوله انشاء دوله وتبخرت مع حرب الصحراء والانقلابات التي تلت تلك الفتره والمخزي فذ كامل عنك لين تتكلم يكول لك حد هاذي السياسه لا هذا الفيافي	Mauritania	mr_Nouakchott
TRAIN_11	انا حبيت شهاب خلاص	Egypt	eg_Qena
TRAIN_12	فمن ذا الذي ينسيني همي غير ربي استغفرك ربي من هم الدنيا و همومها	Morocco	ma_Marrakech-Tensift-Al-Haouz
TRAIN_13	حرام عليك وليد حزام الصليهم عبدالوهاب جعفر هتان بن يطو بالعمري حسن عطيف الفهد محمد سالم وين كديش اخاف تشوف لعيبه ثانين مانشوفهم	Saudi_Arabia	sa_Tabuk
TRAIN_14	مش عارف ليه حظي قليل اوي كل ما اتنشن انا وابويا برغم بتفاهه التنشنه يروح هو تعبان وافضل اجلد واكسر نفسي اكتر وببقي عايز اي حد يهين من كرامتي وقول استاهل اشطه	Egypt	eg_Asyut
TRAIN_15	انطي دليل لسانج اطول منج جنج قيقو بس حجي ماكو دلايل	Iraq	iq_Karbala
TRAIN_16	اوك كم هدف جاب مع منتخبه	Bahrain	bh_Capital
TRAIN_17	ايران انتو شنو مخربين	Syria	sy_Damascus-City
TRAIN_18	وقال فرعون ذروني اقتل موسي ء صووت ججميل	Saudi_Arabia	sa_Najran
TRAIN_19	اشد الاعمال ثلاثه الجود من القله ، والورع في الخلوه وكلمه الحق عند من يرجي ويخاف	Djibouti	dj_Djibouti
TRAIN_20	المثل بقول اخوه يحكي وعاقل يسمع هل لعم بصير هوي لصالحي انا كمواطن لبناني انا مصلحتي حافظ علي الامن ولامان ببلدي وطالب بتحسين وضع معيشتي من يالي فقرني وجوعني بهيدا البلد بس التطاول علي الرموز الدينيه شو بفيدنا ما بفيدنا شي بالعكس بزيد الطيني باله	Lebanon	lb_Akkar
TRAIN_21	واستغرب كيف سمحت لنفسي ان تتابعني انت فانا لا اتشرف بكم كشعب وضع كالسرطان في هذه الامه	Iraq	iq_Maysan
TRAIN_22	قبلها بيوم او ايام	Oman	om_Musandam
TRAIN_23	ونا بعد ابي مثلكم ادفي يديني اءء اءء	Bahrain	bh_Capital
TRAIN_24	بكفي فلسفه هبله	Palestine	ps_Gaza-Strip
TRAIN_25	واش رايكم خاوتي فالموهبه تاعي فالرسم	Algeria	dz_Oran
TRAIN_26	و عليكم سالم و رحمتله و بركاته	Somalia	so_Banaadir
TRAIN_27	انكسار هذه الفتره ثقيل جدا خارت قواي	Syria	sy_As-Suwayda
